"Area","Perimeter","MajorAxisLength","MinorAxisLength","roundnes","Class"
"33206","680.423","260.08982662045","163.10271955282","0.90129810246466","SIRA"
"33318","688.874","257.4648985988","165.03685698134","0.88228561957362","SIRA"
"33462","689.937","265.46997909523","161.02849508635","0.88337048985923","SIRA"
"33493","683.487","252.77237613464","169.43503989324","0.90095561480097","SIRA"
"33540","697.714","257.48914332091","166.55929194694","0.86580092897894","SIRA"
"33587","672.575","240.37704521788","178.68077357555","0.9330386574018","SIRA"
"33605","687.194","259.05473780677","165.83715071143","0.89424196351672","SIRA"
"33634","670.53","242.67496566992","176.83913685177","0.94005217226545","SIRA"
"33680","683.09","256.20325501262","167.93349377402","0.90703927324406","SIRA"
"33739","686.903","255.80434414242","168.59263824126","0.89856861177465","SIRA"
"33885","680.022","245.4253999222","176.31607983134","0.92081296950225","SIRA"
"34031","691.801","265.57158337821","163.62021035035","0.89355688223334","SIRA"
"34099","670.159","237.77220531253","183.22493086326","0.9541041791533","SIRA"
"34112","693.8","258.139904399","168.69662584377","0.89052979812096","SIRA"
"34146","789.379","247.66086682928","176.13797297761","0.68861830467335","SIRA"
"34189","687.252","249.06212469549","174.99365974705","0.90962887391104","SIRA"
"34238","698.847","255.82922382411","170.86709850867","0.88095564192094","SIRA"
"34242","682.082","247.61937688516","177.08464763495","0.92490219360277","SIRA"
"34459","698.401","254.09931378428","173.05990934982","0.88777483240089","SIRA"
"34593","697.522","259.73009318469","170.16276640033","0.89347472409821","SIRA"
"34645","702.351","259.16234213153","171.45866505867","0.88255548722905","SIRA"
"34663","691.502","252.52516057586","175.37970607947","0.91093865222329","SIRA"
"34668","704.917","268.27453347155","166.90077590394","0.87672357201044","SIRA"
"34717","700.168","262.5162028824","168.81105259563","0.88991297136926","SIRA"
"34783","724.442","252.19448905464","175.88853515756","0.8328555018208","SIRA"
"34825","704.926","264.59364801833","168.28556084633","0.8806714774598","SIRA"
"34862","702.718","264.01849172119","168.73778126061","0.88715602523295","SIRA"
"34892","710.337","273.74910854363","163.00044692468","0.86897414382248","SIRA"
"34894","707.258","264.38417134057","168.96004306902","0.876606897586","SIRA"
"34942","701.872","250.91633636559","178.05814427452","0.89133670040093","SIRA"
"34990","700.748","257.01807299314","174.02150420013","0.89542676712456","SIRA"
"35077","707.652","261.08521709453","172.99252057238","0.88022323822572","SIRA"
"35129","703.253","268.44739093801","167.17026734996","0.89259091906748","SIRA"
"35135","692.108","253.09967494565","176.90964287269","0.92172652042757","SIRA"
"35152","711.89","265.19251967163","169.68851306526","0.87163391227671","SIRA"
"35215","711.318","269.11783075619","167.09569313746","0.87460097934024","SIRA"
"35249","706.381","272.65987181681","165.28357267852","0.88772540007846","SIRA"
"35291","723.178","276.23969626876","163.1613077492","0.84797571917701","SIRA"
"35380","697.382","255.58059251408","176.77531238015","0.91416844259345","SIRA"
"35444","716.279","268.08055337205","169.82399717232","0.8681367769586","SIRA"
"35468","711.867","273.1429586498","165.97253659049","0.87952632369975","SIRA"
"35476","711.317","266.85082753963","169.92834924148","0.88108566185668","SIRA"
"35506","713.086","262.10621492644","173.24782768541","0.8774609392862","SIRA"
"35561","708.141","259.76834822933","174.8105517269","0.89113674012806","SIRA"
"35570","710.53","263.26038308054","173.37873200287","0.88537833429001","SIRA"
"35633","712.676","262.5884816192","173.49372583509","0.88161299748176","SIRA"
